symbol,price,action_day,time,volume,turnover,bsflag,record_id,order_kind,function_code,ask_order_id,bid_order_id,channel,direction,datetime
000004.SZ,13.000000,20240308,95117580,1000,13000,66,7728144,0,48,7635031,7728143,2013,1,20240308095117580
000004.SZ,13.000000,20240308,95118120,3900,50700,66,7730704,0,48,7635031,7730703,2013,1,20240308095118120
000004.SZ,13.000000,20240308,95118120,200,2600,66,7730705,0,48,7646992,7730703,2013,1,20240308095118120
000004.SZ,13.000000,20240308,95118120,400,5200,66,7730706,0,48,7667360,7730703,2013,1,20240308095118120
000004.SZ,13.000000,20240308,95118120,100,1300,66,7730707,0,48,7669108,7730703,2013,1,20240308095118120
000004.SZ,13.010000,20240308,95118120,800,10408,66,7730708,0,48,7628068,7730703,2013,1,20240308095118120
000004.SZ,13.010000,20240308,95118120,200,2602,66,7730709,0,48,7637714,7730703,2013,1,20240308095118120
000004.SZ,0.000000,20240308,95121050,1400,0,32,7747769,0,67,0,7710640,2013,0,20240308095121050
000004.SZ,13.000000,20240308,95122940,800,10400,83,7760461,0,48,7760460,7731043,2013,2,20240308095122940
000004.SZ,0.000000,20240308,95124470,3800,0,32,7768005,0,67,0,7731043,2013,0,20240308095124470
000004.SZ,13.000000,20240308,95124900,2200,28600,83,7770339,0,48,7770338,7760850,2013,2,20240308095124900
000004.SZ,12.990000,20240308,95124900,400,5196,83,7770340,0,48,7770338,7737483,2013,2,20240308095124900
000004.SZ,0.000000,20240308,95125750,100,0,32,7775220,0,67,0,7741839,2013,0,20240308095125750
000004.SZ,13.020000,20240308,95127610,800,10416,66,7784438,0,48,7594058,7784437,2013,1,20240308095127610
000004.SZ,0.000000,20240308,95128230,1000,0,32,7787678,0,67,0,784136,2013,0,20240308095128230
000004.SZ,13.000000,20240308,95129050,200,2600,66,7791524,0,48,7784693,7791523,2013,1,20240308095129050
000004.SZ,13.000000,20240308,95130190,800,10400,66,7796081,0,48,7784693,7796080,2013,1,20240308095130190
000004.SZ,13.020000,20240308,95130190,200,2604,66,7796082,0,48,7594058,7796080,2013,1,20240308095130190
000004.SZ,0.000000,20240308,95130240,21500,0,32,7796401,0,67,7062653,0,2013,0,20240308095130240
000004.SZ,13.020000,20240308,95131270,100,1302,66,7801519,0,48,7594058,7801518,2013,1,20240308095131270
000004.SZ,0.000000,20240308,95132040,21600,0,32,7804940,0,67,7113777,0,2013,0,20240308095132040
000004.SZ,13.020000,20240308,95132050,100,1302,66,7804980,0,48,7594058,7804979,2013,1,20240308095132050
000004.SZ,13.020000,20240308,95132050,100,1302,66,7804984,0,48,7594058,7804983,2013,1,20240308095132050
000004.SZ,13.020000,20240308,95132050,100,1302,66,7804986,0,48,7594058,7804985,2013,1,20240308095132050
000004.SZ,13.020000,20240308,95135060,900,11718,66,7818001,0,48,7594058,7818000,2013,1,20240308095135060
000004.SZ,13.020000,20240308,95135060,100,1302,66,7818002,0,48,7787244,7818000,2013,1,20240308095135060
000004.SZ,0.000000,20240308,95136180,300,0,32,7823499,0,67,0,7796832,2013,0,20240308095136180
000004.SZ,0.000000,20240308,95136180,600,0,32,7823500,0,67,0,7796823,2013,0,20240308095136180
000004.SZ,0.000000,20240308,95136180,800,0,32,7823539,0,67,0,7796831,2013,0,20240308095136180
000004.SZ,0.000000,20240308,95136180,100,0,32,7823542,0,67,0,7796815,2013,0,20240308095136180
000004.SZ,0.000000,20240308,95136180,400,0,32,7823591,0,67,0,7796704,2013,0,20240308095136180
000004.SZ,0.000000,20240308,95136210,800,0,32,7824286,0,67,0,7796955,2013,0,20240308095136210
000004.SZ,0.000000,20240308,95136220,200,0,32,7824346,0,67,0,7797045,2013,0,20240308095136220
000004.SZ,0.000000,20240308,95136640,300,0,32,7826263,0,67,1921284,0,2013,0,20240308095136640
000004.SZ,13.030000,20240308,95137560,300,3909,66,7830343,0,48,7581534,7830342,2013,1,20240308095137560
000004.SZ,0.000000,20240308,95139150,300,0,32,7835848,0,67,0,7796548,2013,0,20240308095139150
000004.SZ,13.020000,20240308,95142110,300,3906,83,7846430,0,48,7846429,7826552,2013,2,20240308095142110
000004.SZ,0.000000,20240308,95142310,100,0,32,7847251,0,67,0,7836447,2013,0,20240308095142310
000004.SZ,0.000000,20240308,95144160,100,0,32,7854040,0,67,0,7731678,2013,0,20240308095144160
000004.SZ,0.000000,20240308,95144470,1000,0,32,7854960,0,67,7675062,0,2013,0,20240308095144470
000004.SZ,0.000000,20240308,95144720,300,0,32,7856075,0,67,0,3392523,2013,0,20240308095144720
000004.SZ,13.010000,20240308,95144770,100,1301,66,7856238,0,48,7846647,7856237,2013,1,20240308095144770
000004.SZ,0.000000,20240308,95145590,300,0,32,7859563,0,67,7108862,0,2013,0,20240308095145590
000004.SZ,13.030000,20240308,95148730,200,2606,66,7871914,0,48,7581562,7871913,2013,1,20240308095148730
000004.SZ,13.030000,20240308,95148730,500,6515,66,7871915,0,48,7598879,7871913,2013,1,20240308095148730
000004.SZ,13.030000,20240308,95148730,200,2606,66,7871916,0,48,7687593,7871913,2013,1,20240308095148730
000004.SZ,13.030000,20240308,95148730,1000,13030,66,7871917,0,48,7846392,7871913,2013,1,20240308095148730
000004.SZ,13.030000,20240308,95150410,100,1303,66,7878110,0,48,7846392,7878109,2013,1,20240308095150410
000004.SZ,13.030000,20240308,95151050,100,1303,66,7880898,0,48,7846392,7880897,2013,1,20240308095151050
000004.SZ,13.020000,20240308,95151640,600,7812,83,7884327,0,48,7884326,7856237,2013,2,20240308095151640
000004.SZ,13.030000,20240308,95151730,200,2606,66,7884829,0,48,7846392,7884828,2013,1,20240308095151730
000004.SZ,13.020000,20240308,95152420,100,1302,83,7889190,0,48,7889189,7856237,2013,2,20240308095152420
000004.SZ,0.000000,20240308,95152560,100,0,32,7890003,0,67,0,7856730,2013,0,20240308095152560
000004.SZ,0.000000,20240308,95152600,2000,0,32,7890191,0,67,0,7280816,2013,0,20240308095152600
000004.SZ,13.030000,20240308,95153080,100,1303,66,7892389,0,48,7846392,7892388,2013,1,20240308095153080
000004.SZ,13.020000,20240308,95153920,200,2604,83,7896316,0,48,7896315,7856237,2013,2,20240308095153920
000004.SZ,13.030000,20240308,95153950,11000,143330,66,7896403,0,48,7846392,7896402,2013,1,20240308095153950
000004.SZ,0.000000,20240308,95154720,200,0,32,7901051,0,67,0,5929134,2013,0,20240308095154720
000004.SZ,13.020000,20240308,95155180,100,1302,83,7904086,0,48,7904085,7856237,2013,2,20240308095155180
000004.SZ,13.020000,20240308,95155180,200,2604,83,7904088,0,48,7904087,7856237,2013,2,20240308095155180
000004.SZ,13.020000,20240308,95155180,300,3906,83,7904090,0,48,7904089,7856237,2013,2,20240308095155180
000004.SZ,13.020000,20240308,95155180,200,2604,83,7904094,0,48,7904093,7856237,2013,2,20240308095155180
000004.SZ,13.020000,20240308,95155450,200,2604,83,7905492,0,48,7905491,7856237,2013,2,20240308095155450
000004.SZ,0.000000,20240308,95155920,1100,0,32,7907754,0,67,0,7620841,2013,0,20240308095155920
000004.SZ,0.000000,20240308,95155920,1800,0,32,7907755,0,67,0,7620842,2013,0,20240308095155920
000004.SZ,13.020000,20240308,95155940,400,5208,66,7907844,0,48,7907728,7907843,2013,1,20240308095155940
000004.SZ,13.030000,20240308,95155940,400,5212,66,7907845,0,48,7846392,7907843,2013,1,20240308095155940
000004.SZ,0.000000,20240308,95156200,2000,0,32,7909258,0,67,7668517,0,2013,0,20240308095156200
000004.SZ,0.000000,20240308,95156760,300,0,32,7911334,0,67,206195,0,2013,0,20240308095156760
000004.SZ,13.010000,20240308,95157430,100,1301,83,7914544,0,48,7914543,7882862,2013,2,20240308095157430
000004.SZ,0.000000,20240308,95158350,400,0,32,7918876,0,67,0,7887441,2013,0,20240308095158350
000004.SZ,0.000000,20240308,95158760,500,0,32,7920360,0,67,0,7331396,2013,0,20240308095158760
000004.SZ,13.020000,20240308,95200070,800,10416,66,7924790,0,48,7910704,7924789,2013,1,20240308095200070
000004.SZ,13.020000,20240308,95200440,300,3906,66,7926375,0,48,7910704,7926374,2013,1,20240308095200440
000004.SZ,13.020000,20240308,95200540,400,5208,66,7926821,0,48,7910704,7926820,2013,1,20240308095200540
000004.SZ,0.000000,20240308,95201490,300,0,32,7930664,0,67,7545137,0,2013,0,20240308095201490
000004.SZ,13.020000,20240308,95201600,500,6510,66,7931069,0,48,7910704,7931068,2013,1,20240308095201600
000004.SZ,13.020000,20240308,95201600,500,6510,66,7931070,0,48,7927970,7931068,2013,1,20240308095201600
000004.SZ,13.030000,20240308,95201650,2000,26060,66,7931346,0,48,7846392,7931345,2013,1,20240308095201650
000004.SZ,0.000000,20240308,95202960,400,0,32,7935963,0,67,0,4267103,2013,0,20240308095202960
000004.SZ,0.000000,20240308,95203790,2100,0,32,7939270,0,67,0,7903550,2013,0,20240308095203790
000004.SZ,13.030000,20240308,95204050,300,3909,66,7940209,0,48,7846392,7940208,2013,1,20240308095204050
000004.SZ,0.000000,20240308,95205810,100,0,32,7946370,0,67,0,7747470,2013,0,20240308095205810
000004.SZ,13.030000,20240308,95208200,200,2606,66,7955290,0,48,7846392,7955289,2013,1,20240308095208200
000004.SZ,13.030000,20240308,95208210,100,1303,66,7955310,0,48,7846392,7955309,2013,1,20240308095208210
000004.SZ,13.030000,20240308,95209300,200,2606,66,7958846,0,48,7846392,7958845,2013,1,20240308095209300
000004.SZ,13.020000,20240308,95209440,1000,13020,83,7959291,0,48,7959290,7931068,2013,2,20240308095209440
000004.SZ,13.030000,20240308,95209520,200,2606,66,7959565,0,48,7846392,7959564,2013,1,20240308095209520
000004.SZ,13.030000,20240308,95210940,7000,91210,66,7964419,0,48,7846392,7964418,2013,1,20240308095210940
000004.SZ,13.030000,20240308,95210950,100,1303,66,7964427,0,48,7846392,7964426,2013,1,20240308095210950
000004.SZ,13.030000,20240308,95210950,200,2606,66,7964429,0,48,7846392,7964428,2013,1,20240308095210950
000004.SZ,13.030000,20240308,95210950,100,1303,66,7964431,0,48,7846392,7964430,2013,1,20240308095210950
000004.SZ,13.030000,20240308,95210950,100,1303,66,7964434,0,48,7846392,7964433,2013,1,20240308095210950
000004.SZ,13.030000,20240308,95210950,100,1303,66,7964436,0,48,7846392,7964435,2013,1,20240308095210950
000004.SZ,13.030000,20240308,95210950,100,1303,66,7964438,0,48,7846392,7964437,2013,1,20240308095210950
000004.SZ,13.030000,20240308,95210950,100,1303,66,7964450,0,48,7846392,7964449,2013,1,20240308095210950
000004.SZ,13.030000,20240308,95211850,19100,248873,66,7967406,0,48,7846392,7967405,2013,1,20240308095211850
000004.SZ,13.030000,20240308,95211860,100,1303,66,7967416,0,48,7846392,7967415,2013,1,20240308095211860
000004.SZ,13.030000,20240308,95211860,100,1303,66,7967418,0,48,7846392,7967417,2013,1,20240308095211860
000004.SZ,13.030000,20240308,95211860,100,1303,66,7967420,0,48,7846392,7967419,2013,1,20240308095211860
000004.SZ,13.030000,20240308,95211860,100,1303,66,7967431,0,48,7867192,7967430,2013,1,20240308095211860
000004.SZ,13.030000,20240308,95212150,100,1303,66,7968379,0,48,7867192,7968378,2013,1,20240308095212150
000004.SZ,13.030000,20240308,95212150,100,1303,66,7968380,0,48,7923001,7968378,2013,1,20240308095212150
000004.SZ,0.000000,20240308,95212340,1000,0,32,7969094,0,67,0,7712276,2013,0,20240308095212340
000004.SZ,13.030000,20240308,95212630,1400,18242,66,7970135,0,48,7923001,7970134,2013,1,20240308095212630
000004.SZ,13.030000,20240308,95212630,1000,13030,66,7970136,0,48,7965478,7970134,2013,1,20240308095212630
000004.SZ,13.030000,20240308,95212630,100,1303,66,7970137,0,48,7966648,7970134,2013,1,20240308095212630
000004.SZ,0.000000,20240308,95213550,200,0,32,7973345,0,67,7434490,0,2013,0,20240308095213550
